English,Old ES,New ES,Old FR,New FR,ES Changed,FR Changed
Air System Outdoor Air Economizer Status,Estado del Economizador de Aire Exterior del Sistema de Aire,Sistema de Aire: Estado del Economizador de Aire Exterior,Statut de l&apos;Économiseur d&apos;Air Extérieur du Système de Climatisation,Système de Ventilation: État de l'Économiseur d'Air Extérieur,Y,Y
Air System Outdoor Air Flow Fraction,Fracción de Flujo de Aire Exterior del Sistema de Aire,Sistema de Aire: Fracción de Flujo de Aire Exterior,Fraction de débit d&apos;air extérieur du système de climatisation,Système d'air : Fraction du débit d'air extérieur,Y,Y
Air System Outdoor Air Heat Recovery Bypass Heating Coil Activity Status,Estado de Actividad del Serpentín de Calefacción en Bypass de Recuperación de Calor del Aire Exterior,Sistema de Aire: Estado de Actividad de Derivación de Recuperación de Calor del Aire Exterior en la Bobina Calefactora,Statut d&apos;activité du serpentin de chauffage du contournement de la récupération de chaleur de l&apos;air extérieur du système d&apos;air,Système d'air : État d'activité de la bobine de chauffage du contournement de récupération de chaleur de l'air extérieur,Y,Y
Air System Outdoor Air Heat Recovery Bypass Minimum Outdoor Air Mixed Air Temperature,Temperatura Mínima de Aire Mezclado en Bypass de Recuperación de Calor del Aire Exterior,Air System: Temperatura de Aire Mezclado en Flujo de Aire Exterior Mínimo con Derivación de Recuperación de Calor Deshabilitada,Température d&apos;air mélangé minimale de l&apos;air extérieur du système de récupération de chaleur de l&apos;air extérieur du système d&apos;air,Système de climatisation : Température de l'air mélangé du contournement de récupération de chaleur de l'air extérieur au débit d'air extérieur minimum,Y,Y
Air System Outdoor Air Heat Recovery Bypass Status,Estado del Bypass de Recuperación de Calor del Aire Exterior del Sistema de Aire,Sistema de Aire: Estado de Derivación del Recuperador de Calor de Aire Exterior,État du contournement de la récupération de chaleur de l&apos;air extérieur du système d&apos;air,Système d'air: État du contournement de la récupération de chaleur de l'air extérieur,Y,Y
Air System Outdoor Air High Humidity Control Status,Estado del Control de Alta Humedad del Aire Exterior del Sistema de Aire,Air Loop: Estado de Control de Alta Humedad del Aire Exterior,Statut de contrôle de l&apos;humidité élevée de l&apos;air extérieur du système de climatisation,Système d'air: État du contrôle de l'humidité élevée de l'air extérieur,Y,Y
Air System Outdoor Air Mass Flow Rate,Caudal Másico de Aire Exterior del Sistema de Aire,Sistema de Aire: Tasa de Flujo Másico de Aire Exterior,Débit massique d&apos;air extérieur du système de climatisation,Système d'air: Débit massique d'air extérieur,Y,Y
Air System Outdoor Air Maximum Flow Fraction,Fracción de Flujo Máximo de Aire Exterior del Sistema de Aire,Sistema de Aire: Fracción de Flujo de Aire Exterior Máximo,Fraction de débit d&apos;air maximum de système de ventilation extérieure,Système de climatisation: Fraction de débit d'air extérieur maximale,Y,Y
Air System Outdoor Air Mechanical Ventilation Requested Mass Flow Rate,Caudal Másico Requerido por Ventilación Mecánica del Aire Exterior del Sistema de Aire,Sistema de Aire: Tasa de Flujo Másico de Ventilación Mecánica de Aire Exterior Solicitada,Débit massique demandé pour la ventilation mécanique de l&apos;air extérieur du système de climatisation,Système de Climatisation: Débit Massique Demandé de Ventilation Mécanique d'Air Extérieur,Y,Y
Air System Outdoor Air Minimum Flow Fraction,Fracción de Flujo Mínimo de Aire Exterior del Sistema de Aire,Sistema de Aire: Fracción Mínima de Flujo de Aire Exterior,Fraction minimale du débit d&apos;air extérieur du système de climatisation,Système d'air: Fraction minimale de débit d'air extérieur,Y,Y
Air System Sensible Cooling Energy,Energía de Enfriamiento Sensible del Sistema de Aire,Sistema de Aire: Energía de Enfriamiento Sensible,Énergie de refroidissement sensible du système d&apos;air,Air System: Énergie de refroidissement sensible,Y,Y
Air System Sensible Cooling Rate,Tasa de Enfriamiento Sensible del Sistema de Aire,Sistema de Aire: Tasa de Enfriamiento Sensible,Débit de refroidissement sensible du système d&apos;air,Système d'air : Débit de refroidissement sensible,Y,Y
Air System Sensible Heating Energy,Energía de Calefacción Sensible del Sistema de Aire,Sistema de Aire: Energía Sensible de Calentamiento,Énergie de chauffage sensible du système d&apos;air,Système d'air : Énergie de chauffage sensible,Y,Y
Air System Sensible Heating Rate,Tasa de Calefacción Sensible del Sistema de Aire,Sistema de Aire: Tasa de Calentamiento Sensible,Débit de chauffage sensible du système d&apos;air,Système d'air : Débit de chaleur sensible,Y,Y
Air System Simulation Cycle On Off Status,Estado de Ciclo Encendido/Apagado de Simulación del Sistema de Aire,Sistema de Aire: Estado de Simulación del Ciclo Encendido Apagado,État de cycle marche/arrêt de la simulation du système d&apos;air,Système de Climatisation : Statut de Marche/Arrêt du Cycle de Simulation,Y,Y
Air System Simulation Iteration Count,Conteo de Iteraciones de Simulación del Sistema de Aire,Sistema de Aire: Conteo de Iteraciones de Simulación,Nombre d&apos;itérations de simulation du système d&apos;air,Air System: Nombre d'itérations de simulation,Y,Y
Air System Simulation Maximum Iteration Count,Conteo Máximo de Iteraciones de Simulación del Sistema de Aire,Sistema de Aire: Número Máximo de Iteraciones de Simulación,Nombre maximum d&apos;itérations de simulation du système de air,Système d'air: Nombre maximum d'itérations de simulation,Y,Y
Air System Solver Iteration Count,Conteo de Iteraciones del Solucionador del Sistema de Aire,Sistema de Aire: Contador de Iteraciones del Solucionador,Nombre d&apos;itérations du solveur du système d&apos;air,Système d'air : Nombre d'itérations du solveur,Y,Y
Air Temperature,Temperatura del Aire,Aire: Temperatura,Température de l&apos;air,Air: Température,Y,Y
Air Terminal Sensible Cooling Energy,Energía de Enfriamiento Sensible del Terminal de Aire,Terminal de Aire: Energía de Enfriamiento Sensible,Énergie de refroidissement sensible du terminal d&apos;air,Terminal d'air : Énergie de refroidissement sensible,Y,Y
Air Terminal Sensible Cooling Rate,Tasa de Enfriamiento Sensible del Terminal de Aire,Difusor de Aire: Velocidad de Enfriamiento Sensible,Débit de refroidissement sensible du terminal d&apos;air,Terminaison d'air : Débit de refroidissement sensible,Y,Y
Air Terminal Sensible Heating Energy,Energía de Calefacción Sensible del Terminal de Aire,Terminal de Aire: Energía de Calentamiento Sensible,Énergie de Chauffage Sensible du Diffuseur d&apos;Air,Terminal d'air: Énergie de chauffage sensible,Y,Y
Air Terminal Sensible Heating Rate,Tasa de Calefacción Sensible del Terminal de Aire,Terminal de Aire: Tasa de Calentamiento Sensible,Débit calorifique sensible du terminal d&apos;air,Terminal d'air : Débit de chaleur sensible,Y,Y
Baseboard Convective Heating Energy,Energía de Calefacción Convectiva del Zócalo,Baseboard: Energía de Calentamiento Convectivo,Énergie de chauffage par convection de plinthe,Baseboard: Énergie de chauffage par convection,Y,Y
Baseboard Convective Heating Rate,Tasa de Calefacción Convectiva del Zócalo,Baseboard: Tasa de Calefacción Convectiva,Taux de chauffage par convection de la plinthe,Plinthe: Débit de Chaleur par Convection,Y,Y
Baseboard Electricity Energy,Energía Eléctrica del Zócalo,Baseboard: Energía Eléctrica,Énergie électrique des plinthes chauffantes,Baseboard: Énergie électrique,Y,Y
Baseboard Electricity Rate,Tasa de Electricidad del Zócalo,Baseboard: Potencia Eléctrica,Tarif d&apos;électricité pour plinthe,Plinte chauffante: Puissance électrique,Y,Y
Baseboard Radiant Heating Energy,Energía de Calefacción Radiante del Zócalo,Baseboard: Energía de Calefacción Radiante,Énergie de Chauffage Radiant Baseboard,Plinthe: Énergie de Chauffage Radiant,Y,Y
Baseboard Radiant Heating Rate,Tasa de Calefacción Radiante del Zócalo,Rodapié: Velocidad de Calefacción Radiante,Puissance de chauffage radiant par plinthe,Plinthe: Puissance de Chauffage Radiatif,Y,Y
Baseboard Total Heating Energy,Energía de Calefacción Total del Zócalo,Rodapié: Energía Total de Calentamiento,Énergie Totale de Chauffage par Plinthes,Plinthe de chauffage : Énergie de chauffage totale,Y,Y
Baseboard Total Heating Rate,Tasa de Calefacción Total del Zócalo,Zócalo Radiante: Velocidad Total de Calefacción,Taux de Chauffage Total du Plinthe,Plinthe chauffante: Puissance calorifique totale,Y,Y
Boiler Ancillary Electricity Energy,Energía Eléctrica Auxiliar de la Caldera,Caldera: Energía Eléctrica Auxiliar,Énergie Électrique Auxiliaire de la Chaudière,Chaudière : Énergie électrique auxiliaire,Y,Y
Boiler Coal Energy,Energía de Carbón de la Caldera,Caldera: Energía de Carbón,Énergie Charbon Chaudière,Chaudière : Énergie Charbon,Y,Y
Boiler Coal Rate,Tasa de Carbón de la Caldera,Caldera: Tasa de Consumo de Carbón,Débit de Charbon de la Chaudière,Chaudière: Débit de Charbon,Y,Y
Boiler Diesel Energy,Energía de Diésel de la Caldera,Caldera: Energía de Diésel,Énergie diesel de la chaudière,Chaudière : Énergie Diesel,Y,Y
Boiler Diesel Rate,Tasa de Diésel de la Caldera,Caldera: Consumo de Diésel,Taux de consommation de diesel de la chaudière,Chaudière : Débit de Diesel,Y,Y
Boiler Electricity Energy,Energía Eléctrica de la Caldera,Caldera: Energía Eléctrica,Énergie électrique de la chaudière,Chaudière : Énergie Électrique,Y,Y
Boiler Electricity Rate,Tasa de Electricidad de la Caldera,Caldera: Velocidad de Consumo de Electricidad,Tarif d&apos;électricité de la chaudière,Chaudière : Puissance Électrique,Y,Y
Boiler FuelOilNo1 Energy,Energía de Combustóleo No. 1 de la Caldera,Caldera: Energía de Combustible Diésel Nº1,Énergie Boiler FuelOilNo1,Chaudière : Énergie Fioul Domestique,Y,Y
Boiler FuelOilNo1 Rate,Tasa de Combustóleo No. 1 de la Caldera,Caldera: Tasa de Combustible Nº1,Débit Chaudière Fioul Domestique,Chaudière : Débit Fioul Domestique,Y,Y
Boiler FuelOilNo2 Energy,Energía de Combustóleo No. 2 de la Caldera,Caldera: Energía de Combustible Diésel,Énergie de Chaudière Fioul Domestique No2,Chaudière : Énergie Fioul Domestique,Y,Y
Boiler FuelOilNo2 Rate,Tasa de Combustóleo No. 2 de la Caldera,Caldera: Velocidad de Consumo de Combustible Diésel,Débit Fioul Lourd n°2 Chaudière,Chaudière : Débit de Fioul Domestique,Y,Y
Boiler Gasoline Energy,Energía de Gasolina de la Caldera,Caldera: Energía de Gasolina,Énergie de Chaudière Essence,Chaudière : Énergie Essence,Y,Y
Boiler Gasoline Rate,Tasa de Gasolina de la Caldera,Caldera: Tasa de Consumo de Gasolina,Taux de consommation d&apos;essence de la chaudière,Chaudière : Débit de Consommation d'Essence,Y,Y
Boiler Heating Energy,Energía de Calefacción de la Caldera,Caldera: Energía de Calefacción,Énergie de chauffage de la chaudière,Chaudière : Énergie de chauffage,Y,Y
Boiler Heating Rate,Tasa de Calefacción de la Caldera,Caldera: Potencia Térmica,Débit calorifique de la chaudière,Chaudière : Puissance thermique,Y,Y
Boiler Inlet Temperature,Temperatura de Entrada de la Caldera,Caldera: Temperatura en la Entrada,Température d&apos;entrée de la chaudière,Chaudière : Température d'entrée,Y,Y
Boiler Mass Flow Rate,Caudal Másico de la Caldera,Caldera: Flujo Másico,Débit massique de la chaudière,Chaudière : Débit massique,Y,Y
Boiler NaturalGas Energy,Energía de Gas Natural de la Caldera,Caldera: Energía de Gas Natural,Énergie Gaz Naturel Chaudière,Chaudière: Énergie Gaz Naturel,Y,Y
Boiler NaturalGas Rate,Tasa de Gas Natural de la Caldera,Caldera: Consumo de Gas Natural,Taux de Gaz Naturel de la Chaudière,Chaudière: Débit de gaz naturel,Y,Y
Boiler OtherFuel1 Energy,Energía de Otro Combustible 1 de la Caldera,Caldera: Energía Combustible Alternativo 1,Énergie Chaudière OtherFuel1,Chaudière : Énergie Combustible Autre 1,Y,Y
Boiler OtherFuel1 Rate,Tasa de Otro Combustible 1 de la Caldera,Caldera: Tasa de Combustible Alternativo 1,Débit de combustible alternatif 1 de la chaudière,Chaudière : Débit Combustible Auxiliaire 1,Y,Y
Boiler OtherFuel2 Energy,Energía de Otro Combustible 2 de la Caldera,Caldera: Energía de Otro Combustible 2,Chaudière Autre Combustible2 Énergie,Chaudière : Énergie Combustible Alternatif 2,Y,Y
Boiler OtherFuel2 Rate,Tasa de Otro Combustible 2 de la Caldera,Caldera: Velocidad de Consumo de Combustible Alternativo 2,Débit Combustible Alternatif 2 de la Chaudière,Chaudière : Débit Combustible Auxiliaire 2,Y,Y
Boiler Outlet Temperature,Temperatura de Salida de la Caldera,Caldera: Temperatura de Salida,Température de sortie de la chaudière,Chaudière : Température de Sortie,Y,Y
Boiler Parasitic Electric Power,Potencia Eléctrica Parásita de la Caldera,Caldera: Potencia Eléctrica Parásita,Puissance Électrique Parasite de la Chaudière,Chaudière : Puissance électrique parasite,Y,Y
Boiler Part Load Ratio,Relación de Carga Parcial de la Caldera,Caldera: Razón de Carga Parcial,Rapport de charge partielle de la chaudière,Chaudière : Ratio de Charge Partielle,Y,Y
Boiler Propane Energy,Energía de Propano de la Caldera,Caldera: Energía de Propano,Énergie Propane de la Chaudière,Chaudière : Énergie de Propane,Y,Y
Boiler Propane Rate,Tasa de Propano de la Caldera,Caldera: Tasa de Consumo de Propano,Débit de propane de la chaudière,Chaudière : Débit de Propane,Y,Y
Chilled Water Thermal Storage Tank Final Tank Temperature,Temperatura Final del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Temperatura Final del Tanque,Température finale du réservoir de stockage thermique à eau glacée,Réservoir de Stockage Thermique à Eau Glacée : Température Finale du Réservoir,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 1,Temperatura Final del Nodo 1 del Tanque de Almacenamiento Térmico de Agua Helada,Depósito de Almacenamiento Térmico de Agua Enfriada: Temperatura Final Nodo 1,Nœud de température finale du réservoir de stockage thermique à eau glacée 1,Réservoir de Stockage Thermique d'Eau Glacée : Température Finale du Nœud 1,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 10,Temperatura Final del Nodo 10 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Final del Nodo 10,Nœud de température finale du réservoir de stockage thermique à eau glacée 10,Réservoir de Stockage Thermique d'Eau Glacée: Température Finale du Nœud 10,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 11,Temperatura Final del Nodo 11 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Final en el Nodo 11,Nœud de température finale du réservoir de stockage thermique d&apos;eau glacée 11,Réservoir de Stockage Thermique Eau Glacée : Température Finale Nœud 11,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 12,Temperatura Final del Nodo 12 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Final del Nodo 12,Nœud 12 de la température finale du réservoir de stockage thermique en eau glacée,Réservoir de Stockage Thermique d'Eau Glacée: Température Finale du Nœud 12,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 2,Temperatura Final del Nodo 2 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Temperatura Final del Nodo 2,Nœud de Température Finale du Réservoir de Stockage Thermique en Eau Glacée 2,Réservoir de Stockage Thermique d'Eau Glacée : Température Finale du Nœud 2,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 3,Temperatura Final del Nodo 3 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Final Nodo 3,Nœud 3 - Température finale du réservoir de stockage thermique d&apos;eau glacée,Réservoir de Stockage Thermique à Eau Glacée : Température Finale Nœud 3,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 4,Temperatura Final del Nodo 4 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Final Nodo 4,Nœud de température finale du réservoir de stockage thermique à eau glacée 4,Réservoir de Stockage Thermique d'Eau Glacée : Température Finale Nœud 4,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 5,Temperatura Final del Nodo 5 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Temperatura Final en Nodo 5,Nœud de température finale du réservoir de stockage thermique à eau glacée 5,Réservoir de Stockage Thermique d'Eau Glacée : Température Finale Nœud 5,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 6,Temperatura Final del Nodo 6 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Final Nodo 6,Nœud de température finale du réservoir de stockage thermique d&apos;eau glacée 6,Réservoir de Stockage Thermique à Eau Glacée: Température Finale Nœud 6,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 7,Temperatura Final del Nodo 7 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Temperatura Final Nodo 7,Nœud de température finale du réservoir de stockage thermique d&apos;eau glacée 7,Réservoir de Stockage Thermique à Eau Glacée : Température Finale Nœud 7,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 8,Temperatura Final del Nodo 8 del Tanque de Almacenamiento Térmico de Agua Helada,Depósito de Almacenamiento Térmico de Agua Enfriada: Temperatura Final del Nodo 8,Nœud de température finale du réservoir de stockage thermique à eau glacée 8,Réservoir de Stockage Thermique en Eau Glacée : Température Finale du Nœud 8,Y,Y
Chilled Water Thermal Storage Tank Final Temperature Node 9,Temperatura Final del Nodo 9 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Final Nodo 9,Nœud 9 de température finale du réservoir de stockage thermique à eau glacée,Réservoir de Stockage Thermique Eau Glacée : Température Finale Nœud 9,Y,Y
Chilled Water Thermal Storage Tank Heat Gain Energy,Energía de Ganancia de Calor del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Energía de Ganancia de Calor,Énergie de Gain Thermique du Réservoir de Stockage Thermique à Eau Glacée,Réservoir de Stockage Thermique d'Eau Glacée : Énergie de Gain Thermique,Y,Y
Chilled Water Thermal Storage Tank Heat Gain Rate,Tasa de Ganancia de Calor del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Velocidad de Ganancia de Calor,Taux de gain thermique du réservoir de stockage thermique à eau glacée,Réservoir de Stockage Thermique d'Eau Glacée: Débit de Gain Thermique,Y,Y
Chilled Water Thermal Storage Tank Source Side Heat Transfer Energy,Energía de Transferencia de Calor del Lado Fuente del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Energía de Transferencia de Calor del Lado Fuente,Énergie de transfert thermique côté source du réservoir de stockage thermique à eau glacée,Réservoir de stockage thermique d'eau glacée : Énergie de transfert thermique côté source,Y,Y
Chilled Water Thermal Storage Tank Source Side Heat Transfer Rate,Tasa de Transferencia de Calor del Lado Fuente del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Tasa de Transferencia de Calor del Lado Fuente,Débit de transfert de chaleur du côté source du réservoir de stockage thermique d&apos;eau glacée,Réservoir de Stockage Thermique d'Eau Refroidie: Débit de Transfert Thermique du Côté Source,Y,Y
Chilled Water Thermal Storage Tank Source Side Inlet Temperature,Temperatura de Entrada del Lado Fuente del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Temperatura de Entrada del Lado de Fuente,Température d&apos;entrée du côté source du réservoir de stockage thermique à eau glacée,Réservoir de Stockage Thermique d'Eau Glacée: Température d'Entrée du Côté Source,Y,Y
Chilled Water Thermal Storage Tank Source Side Mass Flow Rate,Caudal Másico del Lado Fuente del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Caudal Másico del Lado Fuente,Débit massique du côté source du réservoir de stockage thermique à eau glacée,Réservoir de Stockage Thermique d'Eau Refroidie : Débit Massique du Côté Source,Y,Y
Chilled Water Thermal Storage Tank Source Side Outlet Temperature,Temperatura de Salida del Lado Fuente del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura de Salida del Lado de la Fuente,Température de sortie côté source du réservoir de stockage thermique à eau glacée,Réservoir de Stockage Thermique à Eau Glacée: Température de Sortie du Côté Source,Y,Y
Chilled Water Thermal Storage Tank Temperature,Temperatura del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Temperatura,Température du réservoir de stockage thermique d&apos;eau glacée,Réservoir de Stockage Thermique en Eau Glacée: Température,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 1,Temperatura del Nodo 1 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Temperatura Nodo 1,Nœud 1 de température du réservoir de stockage thermique d&apos;eau refroidie,Réservoir de Stockage Thermique d'Eau Refroidie : Température Nœud 1,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 10,Temperatura del Nodo 10 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Nodo 10,Nœud de température du réservoir de stockage thermique à eau glacée 10,Réservoir de Stockage Thermique d'Eau Glacée : Température au Nœud 10,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 11,Temperatura del Nodo 11 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Nodo 11,Nœud de température 11 du réservoir de stockage thermique à eau glacée,Réservoir de stockage thermique d'eau glacée : Température du nœud 11,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 12,Temperatura del Nodo 12 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Nodo 12,Nœud de température du réservoir de stockage thermique d&apos;eau glacée 12,Réservoir de Stockage Thermique à Eau Glacée : Température du Nœud 12,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 2,Temperatura del Nodo 2 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura en Nodo 2,Nœud de Température du Réservoir de Stockage Thermique à Eau Glacée 2,Réservoir de Stockage Thermique à Eau Glacée : Température Nœud 2,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 3,Temperatura del Nodo 3 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Temperatura Nodo 3,Nœud 3 de température du réservoir de stockage thermique d&apos;eau glacée,Réservoir de Stockage Thermique en Eau Glacée : Température Nœud 3,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 4,Temperatura del Nodo 4 del Tanque de Almacenamiento Térmico de Agua Helada,Depósito de Almacenamiento Térmico de Agua Fría: Temperatura Nodo 4,Nœud 4 de température du réservoir de stockage thermique d&apos;eau glacée,Réservoir de Stockage Thermique d'Eau Refroidie : Température Nœud 4,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 5,Temperatura del Nodo 5 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Nodo 5,Nœud de Température du Réservoir de Stockage Thermique d&apos;Eau Glacée 5,Réservoir de Stockage Thermique à Eau Glacée : Température Nœud 5,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 6,Temperatura del Nodo 6 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Fría: Temperatura Nodo 6,Nœud 6 de la température du réservoir de stockage thermique d&apos;eau refroidie,Réservoir de Stockage Thermique d'Eau Refroidie : Température du Nœud 6,Y,Y
Chilled Water Thermal Storage Tank Temperature Node 7,Temperatura del Nodo 7 del Tanque de Almacenamiento Térmico de Agua Helada,Tanque de Almacenamiento Térmico de Agua Enfriada: Temperatura Nodo 7,Nœud Température du Réservoir de Stockage Thermique à Eau Glacée 7,Réservoir Thermique d'Eau Glacée : Température Nœud 7,Y,Y
