Context,English,Old ES,New ES,Old FR,New FR,ES Changed,FR Changed
TaxonomyCategories,Daylighting,Luz Natural,Iluminación natural,Éclairage naturel,Éclairage naturel,Y,
TaxonomyCategories,Distribution,Distribución,Distribución,Distribution,Distribution,,
TaxonomyCategories,Economics,Economía,Economía,Économie,Économie,,
TaxonomyCategories,Electric Equipment,Equipo Eléctrico,Equipo Eléctrico,Équipement Électrique,Équipements Électriques,,Y
TaxonomyCategories,Electric Lighting,Iluminación Eléctrica,Iluminación Eléctrica,Éclairage électrique,Éclairage électrique,,
TaxonomyCategories,Electric Lighting Controls,Controles de Iluminación Eléctrica,Controles de Iluminación Eléctrica,Contrôles d'éclairage électrique,Commandes d'éclairage électrique,,Y
TaxonomyCategories,Energy Recovery,Recuperación de Energía,Recuperación de Energía,Récupération d'énergie,Récupération d'énergie,,
TaxonomyCategories,Envelope,Envolvente,Envolvente,Enveloppe,Enveloppe,,
TaxonomyCategories,Equipment,Equipo,Equipos,Équipement,Équipements,Y,Y
TaxonomyCategories,Equipment Controls,Controles de Equipo,Controles de Equipos,Contrôles des équipements,Contrôles des équipements,Y,
TaxonomyCategories,Fenestration,Fenestración,Acristalamiento,Vitrages,Fenêtres,Y,Y
TaxonomyCategories,Form,Forma,Tipo,Formulaire,Forme,Y,Y
TaxonomyCategories,Gas Equipment,Equipo de Gas,Equipos de Gas,Équipement à gaz,Équipements à gaz,Y,Y
TaxonomyCategories,Heat Reclaim,Recuperación de Calor Residual,Recuperación de Calor,Récupération de chaleur,Récupération de chaleur,Y,
TaxonomyCategories,Heat Rejection,Rechazo de Calor,Rechazo de Calor,Rejet de chaleur,Rejet de chaleur,,
TaxonomyCategories,Heating,Calefacción,Calefacción,Chauffage,Chauffage,,
TaxonomyCategories,HVAC,HVAC,HVAC,HVAC,HVAC,,
TaxonomyCategories,HVAC Controls,Controles de HVAC,Controles HVAC,Contrôles HVAC,Contrôles HVAC,Y,
TaxonomyCategories,Infiltration,Infiltración,Infiltración,Infiltration,Infiltration,,
TaxonomyCategories,Life Cycle Cost Analysis,Análisis de Costo de Ciclo de Vida,Análisis de Costo del Ciclo de Vida,Analyse du coût du cycle de vie,Analyse du Coût du Cycle de Vie,Y,Y
TaxonomyCategories,Lighting Equipment,Equipo de Iluminación,Equipos de Iluminación,Équipement d'éclairage,Équipements d'éclairage,Y,Y
TaxonomyCategories,Measures,Medidas,Medidas,Mesures,Mesures,,
TaxonomyCategories,Onsite Power Generation,Generación de Energía en Sitio,Generación de Energía en el Sitio,Génération d'électricité sur site,Génération d'électricité sur site,Y,
TaxonomyCategories,Opaque,Opaco,Opaco,Opaque,Opaque,,
TaxonomyCategories,People,Personas,Personas,Personnes,Occupants,,Y
TaxonomyCategories,People Schedules,Horarios de Personas,Horarios de Ocupantes,Calendriers d'occupation,Calendriers d'Occupation,Y,Y
TaxonomyCategories,Photovoltaic,Fotovoltaico,Fotovoltaico,Photovoltaïque,Photovoltaïque,,
TaxonomyCategories,QAQC,QAQC,QAQC,QAQC,QAQC,,
TaxonomyCategories,Refrigeration,Refrigeración,Refrigeración,Réfrigération,Réfrigération,,
TaxonomyCategories,Refrigeration Controls,Controles de Refrigeración,Controles de Refrigeración,Commandes de Réfrigération,Contrôles de Réfrigération,,Y
TaxonomyCategories,Reporting,Informes,Informes,Rapports,Rapports,,
TaxonomyCategories,Service Water Heating,Calentamiento de Agua Sanitaria,Calentamiento de Agua de Servicio,Chauffage de l'Eau Chaude Sanitaire,Chauffage de l'eau de service,Y,Y
TaxonomyCategories,Space Types,Tipos de Espacio,Tipos de Espacios,Types d'espaces,Types d'espaces,Y,
TaxonomyCategories,Troubleshooting,Solución de Problemas,Solución de problemas,Dépannage,Dépannage,Y,
TaxonomyCategories,Ventilation,Ventilación,Ventilación,Ventilation,Ventilation,,
TaxonomyCategories,Water Heating,Calentamiento de Agua,Calentamiento de Agua,Chauffage de l'eau,Chauffage de l'eau,,
TaxonomyCategories,Water Use,Uso de Agua,Uso de Agua,Utilisation de l'eau,Utilisation de l'eau,,
TaxonomyCategories,Whole Building,Edificio Completo,Edificio Completo,Bâtiment complet,Bâtiment complet,,
TaxonomyCategories,Whole Building Schedules,Horarios del Edificio Completo,Calendarios del Edificio Completo,Calendriers du Bâtiment Entier,Calendriers de l'ensemble du bâtiment,Y,Y
TaxonomyCategories,Whole System,Sistema Completo,Sistema Completo,Système complet,Système complet,,
UtilityBillsView,Diesel Utility Bill,Factura de Servicios de Diésel,Factura de Servicios Diesel,Facture de carburant diesel,Facture de Consommation de Diesel,Y,Y
UtilityBillsView,District Cooling Utility Bill,Factura de Servicios de Enfriamiento Centralizado,Factura de Servicios de Refrigeración Centralizada,Facture de service de refroidissement urbain,Facture de Services de Refroidissement Urbain,Y,Y
UtilityBillsView,District Heating Utility Bill,Factura de Servicios de Calefacción por Red de Distribución,Factura de Servicios de Calefacción Centralizada,Facture de Chauffage Urbain,Facture de services de chauffage urbain,Y,Y
UtilityBillsView,Electric Utility Bill,Factura de Servicios Eléctricos,Factura de Servicios Eléctricos,Facture d'électricité,Facture d'électricité de l'entreprise de distribution,,Y
UtilityBillsView,Energy Transfer Utility Bill,Factura de Servicios de Transferencia de Energía,Factura de Servicios de Transferencia de Energía,Facture d'énergie transférée,Facture de service public de transfert énergétique,,Y
UtilityBillsView,Fuel Oil #1 Utility Bill,Factura de Servicios de Combustible Diesel #1,Factura de Servicios - Combustible #1,Facture de fioul domestique #1,Facture de service - Fioul domestique #1,Y,Y
UtilityBillsView,Fuel Oil #2 Utility Bill,Factura de Servicios de Combustible #2,Factura de Servicios de Combustible #2,Facture de fioul domestique n°2,Facture de Service Public - Fioul #2,,Y
UtilityBillsView,Gas Utility Bill,Factura de Servicios de Gas,Factura de Servicios de Gas,Facture de Gaz Naturel,Facture de gaz naturel,,Y
UtilityBillsView,Gasoline Utility Bill,Factura de Servicios de Gasolina,Factura de Servicios de Gasolina,Facture d'essence,Facture de Carburant,,Y
UtilityBillsView,Propane Utility Bill,Factura de Servicios de Propano,Factura de Servicios de Propano,Facture de services de Propane,Facture de Gaz Propane,,Y
UtilityBillsView,Steam Utility Bill,Factura de Servicio de Vapor,Factura de Servicios de Vapor,Facture de services de vapeur,Facture de Services Généraux – Vapeur,Y,Y
UtilityBillsView,Water Utility Bill,Factura de Servicio de Agua,Factura de Servicios de Agua,Facture d'eau,Facture d'eau,Y,
VCalendarSegmentItem,Double click to delete segment,Doble clic para eliminar segmento,Haz doble clic para eliminar el segmento,Double-cliquez pour supprimer le segment,Double cliquez pour supprimer le segment,Y,Y
openstudio::AirLoopHVACUnitaryHeatPumpAirToAirControlView,Control Zone,Zona de Control,Zona de Control,Zone de contrôle,Zone de contrôle,,
openstudio::AirLoopHVACUnitaryHeatPumpAirToAirControlView,"Supply air temperature is managed by the ""AirLoopHVACUnitaryHeatPumpAirToAir"" component.","La temperatura del aire de suministro es gestionada por el componente ""AirLoopHVACUnitaryHeatPumpAirToAir"".","La temperatura del aire de suministro es controlada por el componente ""AirLoopHVACUnitaryHeatPumpAirToAir"".",La température de l'air soufflé est gérée par le composant « AirLoopHVACUnitaryHeatPumpAirToAir ».,La température de l'air soufflé est gérée par le composant « AirLoopHVACUnitaryHeatPumpAirToAir ».,Y,
openstudio::ApplyMeasureNowDialog,Accept Changes,Aceptar cambios,Aceptar cambios,Accepter les modifications,Accepter les modifications,,
openstudio::ApplyMeasureNowDialog,Advanced Output,Salida avanzada,Salida Avanzada,Sortie avancée,Sortie avancée,Y,
openstudio::ApplyMeasureNowDialog,Apply Measure,Aplicar medida,Aplicar Medida,Appliquer la mesure,Appliquer la Mesure,Y,Y
openstudio::ApplyMeasureNowDialog,Apply Measure Now,Aplicar medida ahora,Aplicar Medida Ahora,Appliquer la mesure maintenant,Appliquer la Mesure maintenant,Y,Y
openstudio::ApplyMeasureNowDialog,Measure Output,Resultado de la medida,Salida de Medida,Résultat de la mesure,Résultats de la Mesure,Y,Y
openstudio::ApplyMeasureNowDialog,No advanced output.,Sin salida avanzada.,Sin salida avanzada.,Pas de sortie avancée.,Pas de sortie avancée.,,
openstudio::ApplyMeasureNowDialog,Running Measure,Ejecutando medida,Ejecutando Medida,Mesure en cours,Exécution de la mesure,Y,Y
openstudio::BuildingComponentDialog,Categories,Categorías,Categorías,Catégories,Catégories,,
openstudio::BuildingComponentDialog,Click to add a search term to the selected category,Haga clic para agregar un término de búsqueda a la categoría seleccionada,Haga clic para añadir un término de búsqueda a la categoría seleccionada,Cliquez pour ajouter un terme de recherche à la catégorie sélectionnée,Cliquez pour ajouter un terme de recherche à la catégorie sélectionnée,Y,
openstudio::BuildingComponentDialog,Local Library,Biblioteca local,Biblioteca Local,Bibliothèque locale,Bibliothèque Locale,Y,Y
openstudio::BuildingComponentDialog,Online BCL,BCL en Linea,BCL en línea,Online BCL,BCL en ligne,Y,Y
openstudio::BuildingComponentDialog,Searching BCL...,Buscando en BCL...,Buscando en BCL...,Recherche dans BCL...,Recherche dans la BCL en cours...,,Y
openstudio::BuildingComponentDialogCentralWidget,Check All,Seleccionar todo,Seleccionar Todo,Tout sélectionner,Cocher tout,Y,Y
openstudio::BuildingComponentDialogCentralWidget,Download,Descargar,Descargar,Télécharger,Télécharger,,
openstudio::BuildingComponentDialogCentralWidget,Sort by:,Ordenar por:,Ordenar por:,Trier par :,Trier par :,,
openstudio::BuildingInspectorView,CAD Object Id:,Id de Objeto CAD:,ID de Objeto CAD:,ID Objet CAO :,Identifiant d'objet CAO :,Y,Y
openstudio::BuildingInspectorView,Default Construction Set:,Conjunto de Construcción por Defecto:,Conjunto de Construcción Predeterminado:,Ensemble de construction par défaut :,Ensemble de constructions par défaut :,Y,Y
openstudio::BuildingInspectorView,Default Schedule Set:,Conjunto de Horarios por Defecto:,Conjunto de Horarios Predefinido:,Ensemble de calendriers par défaut :,Ensemble de plannings par défaut :,Y,Y
openstudio::BuildingInspectorView,Display Name:,Nombre de Visualización:,Nombre de Visualización:,Nom d'affichage :,Nom d'affichage :,,
openstudio::BuildingInspectorView,Measure Tags (Optional):,Etiquetas de Medida (Opcional):,Etiquetas de Medidas (Opcional):,Tags de Mesures (Optionnel) :,Étiquettes de Mesure (Optionnel) :,Y,Y
openstudio::BuildingInspectorView,Name:,Nombre:,Nombre:,Nom :,Nom :,,
openstudio::BuildingInspectorView,Nominal Floor to Ceiling Height:,Altura Nominal de Suelo a Techo:,Altura Nominal de Piso a Techo:,Hauteur nominale du sol au plafond :,Hauteur nominale sol-plafond :,Y,Y
openstudio::BuildingInspectorView,Nominal Floor to Floor Height:,Altura Nominal de Suelo a Suelo:,Altura Nominal entre Pisos:,Hauteur nominale entre étages :,Hauteur nominale étage à étage :,Y,Y
openstudio::BuildingInspectorView,North Axis:,Eje Norte:,Eje Norte:,Axe Nord :,Axe Nord :,,
openstudio::BuildingInspectorView,Relocatable:,Reubicable:,Reubicable:,Déplaçable :,Déplaçable :,,
openstudio::BuildingInspectorView,Space Type:,Tipo de Espacio:,Tipo de Espacio:,Type d'espace :,Type d'espace :,,
openstudio::BuildingInspectorView,Standards Building Type:,Tipo de Edificio según Normas:,Tipo de Edificio de Normas:,Type de bâtiment normalisé :,Type de bâtiment selon les normes :,Y,Y
openstudio::BuildingInspectorView,Standards Number of Above Ground Stories:,Número de Plantas sobre Rasante:,Estándares Número de Historias Sobre el Nivel del Terreno:,Nombre d'étages au-dessus du sol selon les normes :,Normes - Nombre d'étages au-dessus du sol :,Y,Y
openstudio::BuildingInspectorView,Standards Number of Living Units:,Número de Unidades Habitables:,Norma Número de Unidades de Vivienda:,Nombre d'unités d'habitation selon les normes :,Nombre de logements selon les normes :,Y,Y
openstudio::BuildingInspectorView,Standards Number of Stories:,Número de Plantas según Normas:,Número de Pisos de Normas:,Nombre d'étages selon les normes :,Nombre d'étages selon les normes :,Y,
openstudio::BuildingInspectorView,Standards Template:,Plantilla de Normas:,Plantilla de Estándares:,Modèle de normes :,Modèle de normes :,Y,
openstudio::Component,An update is available for this component,Hay una actualización disponible para este componente,Una actualización está disponible para este componente,Une mise à jour est disponible pour ce composant,Une mise à jour est disponible pour ce composant,Y,
openstudio::Component,An update is available for this measure,Hay una actualización disponible para esta medida,Una actualización está disponible para esta medida,Une mise à jour est disponible pour cette mesure,Une mise à jour est disponible pour cette mesure,Y,
openstudio::Component,Arguments,Argumentos,Argumentos,Arguments,Paramètres,,Y
openstudio::Component,Attributes,Atributos,Atributos,Attributs,Propriétés,,Y
openstudio::Component,Author,Autor,Autor,Auteur,Auteur,,
openstudio::Component,Comment,Comentario,Comentario,Commentaire,Commentaire,,
openstudio::Component,Date & time,Fecha y hora,Fecha y hora,Date et heure,Date et heure,,
openstudio::Component,Description,Descripción,Descripción,Description,Description,,
openstudio::Component,Errors,Errores,Errores,Erreurs,Erreurs,,
openstudio::Component,Files,Archivos,Archivos,Fichiers,Fichiers,,
openstudio::Component,Modeler Description,Descripción del modelador,Descripción del Modelador,Description du modélisateur,Description du modélisateur,Y,
openstudio::Component,Organization,Organización,Organización,Organisation,Organisation,,
openstudio::Component,Release Tag,Etiqueta de versión,Etiqueta de Versión,Tag de version,Étiquette de version,Y,Y
openstudio::Component,Repository,Repositorio,Repositorio,Dépôt,Dépôt,,
openstudio::Component,Sources,Fuentes,Fuentes,Sources,Sources,,
openstudio::Component,Tags,Etiquetas,Etiquetas,Balises,Étiquettes,,Y
openstudio::Component,This measure cannot be updated because it has an error,Esta medida no puede actualizarse porque tiene un error,Esta medida no puede actualizarse porque tiene un error,Cette mesure ne peut pas être mise à jour car elle contient une erreur,Cette mesure ne peut pas être mise à jour car elle contient une erreur,,
openstudio::Component,This measure is not compatible with the current version of OpenStudio,Esta medida no es compatible con la versión actual de OpenStudio,Esta medida no es compatible con la versión actual de OpenStudio,Cette mesure n'est pas compatible avec la version actuelle d'OpenStudio,Cette mesure n'est pas compatible avec la version actuelle d'OpenStudio,,
openstudio::Component,UID,UID,UID,UID,UID,,
openstudio::Component,Version,Versión,Versión,Version,Version,,
openstudio::Component,Version ID,ID de versión,ID de Versión,ID de version,Identifiant de version,Y,Y
openstudio::Component,Version Modified,Versión modificada,Versión Modificada,Version modifiée,Version Modifiée,Y,Y
openstudio::ConstructionAirBoundaryInspectorView,Air Exchange Method:,Método de intercambio de aire:,Método de Intercambio de Aire:,Méthode d'échange d'air :,Méthode d'échange d'air :,Y,
openstudio::ConstructionAirBoundaryInspectorView,Name:,Nombre:,Nombre:,Nom :,Nom :,,
openstudio::ConstructionAirBoundaryInspectorView,Simple Mixing Air Changes per Hour:,Cambios de aire por hora (mezcla simple):,Cambios de Aire Simple por Hora:,Changements d'air par heure de mélange simple :,Taux de renouvellement d'air du mélange simple (en changements d'air par heure) :,Y,Y
openstudio::ConstructionCfactorUndergroundWallInspectorView,C-Factor:,Factor C:,Factor C:,C-Factor :,Facteur C :,,Y
openstudio::ConstructionCfactorUndergroundWallInspectorView,Height:,Altura:,Altura:,Hauteur :,Profondeur :,,Y
openstudio::ConstructionCfactorUndergroundWallInspectorView,Name:,Nombre:,Nombre:,Nom :,Nom :,,
openstudio::ConstructionFfactorGroundFloorInspectorView,Area:,Área:,Área:,Surface :,Superficie :,,Y
openstudio::ConstructionFfactorGroundFloorInspectorView,F-Factor:,Factor F:,Factor F:,F-Factor :,Facteur F :,,Y
openstudio::ConstructionFfactorGroundFloorInspectorView,Name:,Nombre:,Nombre:,Nom :,Nom :,,
openstudio::ConstructionFfactorGroundFloorInspectorView,Perimeter Exposed:,Perímetro expuesto:,Perímetro Expuesto:,Périmètre exposé :,Périmètre exposé :,Y,
openstudio::ConstructionInspectorView,Drag From Library,Arrastrar desde la biblioteca,Arrastrar desde la Biblioteca,Glisser depuis la bibliothèque,Glisser depuis la bibliothèque,Y,
openstudio::ConstructionInspectorView,Inside,Interior,Interior,Intérieur,Intérieur,,
openstudio::ConstructionInspectorView,Layer:,Capa:,Capa:,Couche :,Couche :,,
openstudio::ConstructionInspectorView,Name:,Nombre:,Nombre:,Nom :,Nom :,,
openstudio::ConstructionInspectorView,Outside,Exterior,Exterior,Extérieur,Extérieur,,
openstudio::ConstructionInternalSourceInspectorView,Dimensions for the CTF Calculation:,Dimensiones para el cálculo CTF:,Dimensiones para el Cálculo de la Función de Transferencia de Conducción:,Dimensions pour le calcul CTF:,Dimensions pour le calcul de la Fonction de Transfert par Conduction :,Y,Y
openstudio::ConstructionInternalSourceInspectorView,Drag From Library,Arrastrar desde la biblioteca,Arrastrar desde la Biblioteca,Glisser-déposer depuis la bibliothèque,Glisser depuis la bibliothèque,Y,Y
openstudio::ConstructionInternalSourceInspectorView,Inside,Interior,Interior,Intérieur,Intérieur,,
openstudio::ConstructionInternalSourceInspectorView,Layer:,Capa:,Capa:,Couche :,Couche :,,
openstudio::ConstructionInternalSourceInspectorView,Name:,Nombre:,Nombre:,Nom :,Nom :,,
openstudio::ConstructionInternalSourceInspectorView,Outside,Exterior,Exterior,Extérieur,Extérieur,,
openstudio::ConstructionInternalSourceInspectorView,Source Present After Layer:,Fuente presente después de la capa:,Fuente Presente Después de la Capa:,Source Present After Layer:,Source présente après la couche :,Y,Y
openstudio::ConstructionInternalSourceInspectorView,Temperature Calculation Requested After Layer Number:,Cálculo de temperatura solicitado después del número de capa:,Cálculo de Temperatura Solicitado Después de la Capa Número:,Calcul de température demandé après le numéro de couche :,Calcul de température demandé après la couche numéro :,Y,Y
openstudio::ConstructionInternalSourceInspectorView,Tube Spacing:,Separación de tubos:,Espaciado de Tubos:,Espacement des tubes :,Espacement des tubes :,Y,
openstudio::ConstructionsTabController,Construction Sets,Conjuntos de construcción,Conjuntos de Construcción,Ensembles de construction,Ensembles de construction,Y,
openstudio::ConstructionsTabController,Constructions,Construcciones,Construcciones,Constructions,Constructions,,
openstudio::ConstructionsTabController,Materials,Materiales,Materiales,Matériaux,Matériaux,,
openstudio::ConstructionsView,Air Boundary Constructions,Construcciones de límite de aire,Construcciones de Límite de Aire,Constructions de Limite d'Air,Constructions de limite d'air,Y,Y
openstudio::ConstructionsView,C-factor Underground Wall Constructions,Construcciones de muro subterráneo (factor C),Construcciones de Muros Subterráneos por Factor C,Constructions de murs souterrains avec facteur C,Constructions de Murs Souterrains à Facteur C,Y,Y
openstudio::ConstructionsView,Constructions,Construcciones,Construcciones,Constructions,Constructions,,
openstudio::ConstructionsView,F-factor Ground Floor Constructions,Construcciones de planta baja (factor F),Construcciones de Piso de Planta Baja con Factor F,Constructions pour plancher bas avec facteur F,Constructions de Plancher Inférieur avec Facteur F,Y,Y
openstudio::ConstructionsView,Internal Source Constructions,Construcciones de fuente interna,Construcciones con Fuentes Internas,Constructions Source Interne,Constructions à source interne,Y,Y
openstudio::DataPointJobHeaderView,%1 Error,%1 error,%1 Error,%1 erreur,%1 Erreur,Y,Y
openstudio::DataPointJobHeaderView,%1 Errors,%1 errores,%1 Errores,%1 erreurs,%1 Erreurs,Y,Y
openstudio::DataPointJobHeaderView,%1 Warning,%1 advertencia,%1 Advertencia,%1 avertissement,%1 Avertissement,Y,Y
openstudio::DataPointJobHeaderView,%1 Warnings,%1 advertencias,%1 Advertencias,%1 avertissements,%1 Avertissements,Y,Y
openstudio::DataPointJobHeaderView,Canceled,Cancelado,Cancelado,Annulé,Annulé,,
openstudio::DataPointJobHeaderView,Not Started,No iniciado,No iniciado,Non démarré,Non démarré,,
openstudio::DaySchedulePlotArea,Drag vertical line to adjust,Arrastrar línea vertical para ajustar,Arrastre la línea vertical para ajustar,Faites glisser la ligne verticale pour ajuster,Faites glisser la ligne verticale pour ajuster,Y,
openstudio::DaySchedulePlotArea,Mouse over horizontal line to set value,Pasar el ratón sobre la línea horizontal para establecer valor,Pase el ratón sobre la línea horizontal para establecer el valor,Survolez la ligne horizontale pour définir la valeur,Survolez la ligne horizontale pour définir la valeur,Y,
openstudio::DefaultConstructionSetInspectorView,Adiabatic Surfaces,Superficies adiabáticas,Superficies Adiabáticas,Surfaces Adiabatiques,Surfaces Adiabatiques,Y,
openstudio::DefaultConstructionSetInspectorView,Building Shading,Sombreado de edificio,Sombreado de Edificio,Masquage du bâtiment,Masquage du bâtiment,Y,
openstudio::DefaultConstructionSetInspectorView,Ceilings,Cielos rasos,Cielos Rasos,Plafonds,Plafonds,Y,
openstudio::DefaultConstructionSetInspectorView,Doors,Puertas,Puertas,Portes,Portes,,
openstudio::DefaultConstructionSetInspectorView,Exterior Sub Surface Constructions,Construcciones de subsuperficies exteriores,Construcciones de Superficies Exteriores Secundarias,Constructions des Sous-Surfaces Extérieures,Constructions des sous-surfaces extérieures,Y,Y
openstudio::DefaultConstructionSetInspectorView,Exterior Surface Constructions,Construcciones de superficies exteriores,Construcciones de Superficies Exteriores,Constructions de Surfaces Extérieures,Constructions de surfaces extérieures,Y,Y
openstudio::DefaultConstructionSetInspectorView,Fixed Windows,Ventanas fijas,Ventanas Fijas,Fenêtres fixes,Fenêtres fixes,Y,
openstudio::DefaultConstructionSetInspectorView,Floors,Pisos,Pisos,Étages,Planchers,,Y
openstudio::DefaultConstructionSetInspectorView,Glass Doors,Puertas de vidrio,Puertas de Vidrio,Portes en Verre,Portes Vitrées,Y,Y
openstudio::DefaultConstructionSetInspectorView,Ground Contact Surface Constructions,Construcciones de superficies en contacto con el suelo,Construcciones de Superficies en Contacto con el Terreno,Constructions de Surfaces en Contact avec le Sol,Constructions de Surface en Contact avec le Sol,Y,Y
openstudio::DefaultConstructionSetInspectorView,Interior Partitions,Particiones interiores,Particiones Interiores,Cloisons intérieures,Cloisons intérieures,Y,
openstudio::DefaultConstructionSetInspectorView,Interior Sub Surface Constructions,Construcciones de subsuperficies interiores,Construcciones de Subsuperficies Interiores,Constructions de sous-surfaces intérieures,Constructions de sous-surfaces intérieures,Y,
openstudio::DefaultConstructionSetInspectorView,Interior Surface Constructions,Construcciones de superficies interiores,Construcciones de Superficies Interiores,Constructions de Surfaces Intérieures,Constructions des Surfaces Intérieures,Y,Y
openstudio::DefaultConstructionSetInspectorView,Name,Nombre,Nombre,Nom,Nom,,
openstudio::DefaultConstructionSetInspectorView,Operable Windows,Ventanas operables,Ventanas Operables,Fenêtres opérables,Fenêtres Ouvrables,Y,Y
openstudio::DefaultConstructionSetInspectorView,Other Constructions,Otras construcciones,Otras Construcciones,Autres Constructions,Autres constructions,Y,Y
openstudio::DefaultConstructionSetInspectorView,Overhead Doors,Puertas de garaje,Puertas de Garaje,Portes de garage,Portes Sectionnelles,Y,Y
openstudio::DefaultConstructionSetInspectorView,Roofs,Techos,Techos,Toits,Toitures,,Y
openstudio::DefaultConstructionSetInspectorView,Site Shading,Sombreado de sitio,Sombreado del Sitio,Masque de site,Masquage du site,Y,Y
openstudio::DefaultConstructionSetInspectorView,Skylights,Lucernarios,Tragaluces,Puits de lumière,Lucarnes,Y,Y
openstudio::DefaultConstructionSetInspectorView,Space Shading,Sombreado de espacio,Sombreado de Espacio,Ombrage d'espace,Ombrage d'Espace,Y,Y
openstudio::DefaultConstructionSetInspectorView,Tubular Daylight Diffusers,Difusores de luz tubular,Difusores de Luz Natural Tubulares,Diffuseurs de Lumière Naturelle Tubulaires,Diffuseurs de lumière du jour tubulaires,Y,Y
openstudio::DefaultConstructionSetInspectorView,Tubular Daylight Domes,Domos de luz tubular,Domos Tubulares de Luz Natural,Dômes de lumière du jour tubulaires,Dômes de Lumière Naturelle Tubulaires,Y,Y
openstudio::DefaultConstructionSetInspectorView,Walls,Muros,Muros,Murs,Murs,,
openstudio::DefaultScheduleDayView,Default day profile.,Perfil del día predeterminado.,Perfil de día predeterminado.,Profil de jour par défaut.,Profil de jour par défaut.,Y,
openstudio::DesignDayGridController,Check to enable daylight saving time indicator.,Marque para habilitar el indicador de horario de verano.,Marque para habilitar el indicador de horario de verano.,Cocher pour activer l'indicateur d'heure d'été.,Cochez cette case pour activer l'indicateur d'heure d'été.,,Y
openstudio::DesignDayGridController,Check to enable rain indicator.,Marcar para habilitar el indicador de lluvia.,Marque para habilitar el indicador de lluvia.,Cocher pour activer l'indicateur de pluie.,Cocher pour activer l'indicateur de pluie.,Y,
openstudio::DesignDayGridController,Check to enable snow indicator.,Marque para habilitar el indicador de nieve.,Marque para activar el indicador de nieve.,Cocher pour activer l'indicateur de neige.,Cocher pour activer l'indicateur de neige.,Y,
openstudio::DesignDayGridController,Check to select all rows,Marca para seleccionar todos los renglones,Marcar para seleccionar todas las filas,Cocher pour sélectionner toutes les lignes,Cochez pour sélectionner toutes les lignes,Y,Y
openstudio::DesignDayGridController,Check to select this row,Marcar para seleccionar esta fila,Marque para seleccionar esta fila,Cocher pour sélectionner cette ligne,Cochez pour sélectionner cette ligne,Y,Y
openstudio::DesignDayGridController,Date,Fecha,Fecha,Date,Date,,
openstudio::DesignDayGridController,Humidity,Humedad,Humedad,Humidité,Humidité,,
