English,Old ES,New ES,Old FR,New FR,ES Changed,FR Changed
Actuated Component Type,Agregar variable de entorno epin a la ruta de búsqueda,Tipo de Componente Controlado,Type de composant actionné,Type de composant commandé,Y,Y
Actuated Component Unique Name,Agregar Directorio de Archivo de Entrada a la Ruta de Búsqueda,Nombre Único del Componente Accionado,Nom unique du composant actionné,Nom Unique du Composant Actionné,Y,Y
Actuator Availability Dictionary Reporting,Nombre de Construcción de Superficie Adiabática,Informe del Diccionario de Disponibilidad de Actuadores,Rapport du Dictionnaire de Disponibilité des Actionneurs,Rapports du Dictionnaire de Disponibilité des Actionneurs,Y,Y
Actuator Node Name,Ajustar Horario para Horario de Verano,Nombre del Nodo Actuador,Nom du nœud d'actionneur,Nom du nœud actionneur,Y,Y
Actuator Variable,Ajustar Mezcla de Zona y Retorno Para Balance de Flujo de Masa de Aire,Variable del Actuador,Variable d'actionneur,Variable d'Actionneur,Y,Y
Add Current Working Directory to Search Path,Variable de Fuente de Ajuste,Agregar Directorio de Trabajo Actual a Ruta de Búsqueda,Ajouter le répertoire de travail actuel au chemin de recherche,Ajouter le répertoire de travail actif au chemin de recherche,Y,Y
Add epin Environment Variable to Search Path,Tipo de Agregación para Variable o Medidor,Agregar variable de entorno epin a Ruta de Búsqueda,Ajouter la variable d'environnement epin au chemin de recherche,Ajouter variable d'environnement epin au chemin de recherche,Y,Y
Add Input File Directory to Search Path,Nombre del Nodo de Entrada de la Conexión de Aire 1,Agregar Directorio del Archivo de Entrada a la Ruta de Búsqueda,Ajouter le répertoire du fichier d'entrée au chemin de recherche,Ajouter le répertoire du fichier d'entrée au chemin de recherche,Y,
Additional Destratification Conductivity,Conductividad de Destratificación Adicional,Conductividad Adicional de Desestratificación,Conductivité supplémentaire de déstratification,Conductivité Supplémentaire de Déstratification,Y,Y
Adiabatic Surface Construction Name,Nombre del Nodo de Salida de la Conexión de Aire 1,Nombre de Construcción de Superficie Adiabática,Nom de construction de surface adiabatique,Nom de la Construction de Surface Adiabatique,Y,Y
Adjust Schedule for Daylight Savings,Método de Intercambio de Aire,Ajustar Horario para Cambio de Horario de Verano,Ajuster l'horaire pour l'heure d'été,Ajuster l'Emploi du Temps pour l'Heure d'Été,Y,Y
Adjust Zone Mixing and Return For Air Mass Flow Balance,Método de Cálculo del Flujo de Aire,Ajustar Mezcla de Zona y Retorno para Balance de Flujo de Masa de Aire,Ajuster le Mélange de Zones et le Retour pour l'Équilibre du Débit Massique d'Air,Ajuster Mélange de Zone et Retour pour Équilibre Débit Masse d'Air,Y,Y
Adjustment Source Variable,Nombre de Curva de Función de Flujo de Aire en Función de la Carga y Temperatura del Aire,Variable Fuente de Ajuste,Variable source d'ajustement,Variable source d'ajustement,Y,
Aggregation Type for Variable or Meter,Unidades de Flujo de Aire,Tipo de Agregación para Variable o Medidor,Type d'agrégation pour variable ou compteur,Type d'agrégation pour variable ou compteur,Y,
Air Changes per Hour,Cambios de Aire por Hora,Cambios de aire por hora,Changements d'air par heure,Changements d'air par heure,Y,
Air Connection 1 Inlet Node Name,Valor de Flujo de Aire,Nombre del Nodo de Entrada de Conexión de Aire 1,Nom du nœud d'entrée de la connexion aérienne 1,Nom du nœud d'entrée de la connexion d'air 1,Y,Y
Air Connection 1 Outlet Node Name,Entrada de Aire,Nombre del Nodo de Salida de la Conexión de Aire 1,Nom du Nœud de Sortie de Connexion Air 1,Nom du nœud de sortie de la connexion aérienne 1,Y,Y
Air Exchange Method,Tipo de Conexión de Entrada de Aire,Método de Intercambio de Aire,Méthode d'échange d'air,Méthode d'échange d'air,Y,
Air Flow Calculation Method,Nodo de Entrada de Aire,Método de Cálculo del Flujo de Aire,Méthode de Calcul du Débit d'Air,Méthode de Calcul du Débit d'Air,Y,
Air Flow Function of Loading and Air Temperature Curve Name,Nombre del Nodo de Entrada de Aire,Nombre de Curva de Función de Flujo de Aire en Función de Carga y Temperatura del Aire,Nom de la courbe de la fonction du débit d'air en fonction du chargement et de la température de l'air,Nom de la courbe de débit d'air en fonction de la charge et de la température de l'air,Y,Y
Air Flow Rate in Free Convection Regime,Caudal de Aire en Régimen de Convección Libre,Caudal de Aire en Régimen de Convección Natural,Débit d'air en régime de convection naturelle,Débit d'air en régime de convection naturelle,Y,
Air Flow Units,Nombre de Zona de Entrada de Aire,Unidades de Flujo de Aire,Unités de débit d'air,Unités de débit d'air,Y,
Air Flow Value,Modo de Recuperación de Calor de Admisión de Aire,Valor de Flujo de Aire,Valeur du débit d'air,Débit d'Air,Y,Y
Air Inlet,Bucle de Aire,Entrada de Aire,Entrée d'air,Entrée d'air,Y,
Air Inlet Connection Type,Coeficiente de Flujo de Masa de Aire,Tipo de Conexión de Entrada de Aire,Type de connexion d'entrée d'air,Type de Connexion de l'Entrée d'Air,Y,Y
Air Inlet Node,Coeficiente de Flujo de Masa de Aire en Condiciones de Referencia,Nodo de Entrada de Aire,Nœud d'entrée d'air,Nœud d'entrée d'air,Y,
Air Inlet Node Name,Coeficiente de Flujo de Masa de Aire Sin Flujo de Aire Exterior en Condiciones de Referencia,Nombre de Nodo de Entrada de Aire,Nom du nœud d'entrée d'air,Nom du nœud d'admission d'air,Y,Y
Air Inlet Zone Name,Coeficiente de Flujo Másico de Aire Cuando la Apertura Está Cerrada,Nombre de Zona de Entrada de Aire,Zone d'entrée d'air,Nom de la Zone d'Entrée d'Air,Y,Y
Air Intake Heat Recovery Mode,Exponente del Flujo de Masa de Aire,Modo de Recuperación de Calor en la Toma de Aire,Mode de récupération de chaleur d'admission d'air,Mode de Récupération de Chaleur sur l'Air d'Admission,Y,Y
Air Loop,Exponente del Flujo de Masa de Aire Cuando No Hay Flujo de Aire Exterior,Bucle de Aire,Boucle d'air,Boucle d'air,Y,
Air Mass Flow Coefficient,Exponente del Flujo Másico de Aire Cuando la Abertura está Cerrada,Coeficiente de Flujo Másico de Aire,Coefficient de débit massique d'air,Coefficient de Débit Massique d'Air,Y,Y
Air Mass Flow Coefficient at Reference Conditions,Actuador de Caudal Másico de Aire,Coeficiente de Flujo Másico de Aire en Condiciones de Referencia,Coefficient de débit massique d'air aux conditions de référence,Coefficient de Débit Massique d'Air aux Conditions de Référence,Y,Y
Air Mass Flow Coefficient When No Outdoor Air Flow at Reference Conditions,Salida de Aire,Coeficiente de Flujo Másico de Aire sin Flujo de Aire Exterior en Condiciones de Referencia,Coefficient de débit massique d'air en l'absence de débit d'air extérieur aux conditions de référence,Coefficient de débit massique d'air sans flux d'air extérieur aux conditions de référence,Y,Y
Air Mass Flow Coefficient When Opening is Closed,Actuador de Relación de Humedad en la Salida de Aire,Coeficiente de Flujo Másico de Aire Cuando la Abertura está Cerrada,Coefficient de débit d'air massique lorsque l'ouverture est fermée,Coefficient de débit massique d'air en ouverture fermée,Y,Y
Air Mass Flow Exponent,Nodo de Salida de Aire,Exponente del Flujo Másico de Aire,Exposant du débit massique d'air,Exposant du débit massique d'air,Y,
Air Mass Flow Exponent When No Outdoor Air Flow,Nombre del Nodo de Salida de Aire,Exponente del Flujo Másico de Aire sin Flujo de Aire Exterior,Exposant du débit massique d'air sans débit d'air extérieur,Exposant du débit massique d'air sans débit d'air extérieur,Y,
Air Mass Flow Exponent When Opening is Closed,Actuador de Temperatura de Salida de Aire,Exponente del Flujo Másico de Aire Cuando la Abertura Está Cerrada,Exposant du débit massique d'air quand l'ouverture est fermée,Exposant du Débit Massique d'Air Lorsque l'Ouverture est Fermée,Y,Y
Air Mass Flow Rate Actuator,Diámetro Hidráulico de la Ruta de Aire,Actuador de Flujo de Masa de Aire,Actionneur de débit d'air massique,Actionneur de Débit Massique d'Air,Y,Y
Air Outlet,Longitud de la Trayectoria de Aire,Salida de Aire,Sortie d'air,Sortie d'air,Y,
Air Outlet Humidity Ratio Actuator,Coeficiente de Temperatura de Tasa de Aire,Actuador de Relación de Humedad en la Salida de Aire,Actionneur du Rapport d'Humidité de la Sortie d'Air,Actionneur de Rapport d'Humidité à la Sortie d'Air,Y,Y
Air Outlet Node,Nombre de Curva de Tasa de Aire en Función de Potencia Eléctrica,Nodo de Salida de Aire,Nœud de sortie d'air,Nœud de sortie d'air,Y,
Air Outlet Node Name,Nombre de la Curva de Tasa de Aire en Función de la Tasa de Combustible,Nombre del Nodo de Salida de Aire,Nom du nœud de sortie d'air,Nom du nœud de sortie d'air,Y,
Air Outlet Temperature Actuator,Nombre del Nodo de Fuente de Aire,Actuador de Temperatura de Salida de Aire,Actionneur de Température de Sortie d'Air,Actionneur de température de sortie d'air,Y,Y
Air Path Hydraulic Diameter,Modo de Constituyente de Suministro de Aire,Diámetro Hidráulico de la Vía de Aire,Diamètre hydraulique du trajet d'air,Diamètre hydraulique du chemin d'air,Y,Y
Air Path Length,Nombre de Suministro de Aire,Longitud de la Trayectoria del Aire,Longueur du trajet d'air,Longueur du trajet d'air,Y,
Air Rate Air Temperature Coefficient,Modo de Cálculo de la Tasa de Suministro de Aire,Coeficiente de Temperatura del Caudal de Aire,Coefficient de Température du Débit d'Air,Coefficient de Température du Débit d'Air,Y,
Air Rate Function of Electric Power Curve Name,Permeabilidad al flujo de aire,Nombre de la Curva de Tasa de Aire en Función de Potencia Eléctrica,Nom de la courbe de fonction du débit d'air en fonction de la puissance électrique,Nom de la courbe du débit d'air en fonction de la puissance électrique,Y,Y
Air Rate Function of Fuel Rate Curve Name,Control de Red de Flujo de Aire,Nombre de Curva de Flujo de Aire en Función del Flujo de Combustible,Nom de la courbe du débit d'air en fonction du débit de carburant,Nom de la courbe du débit d'air en fonction du débit de combustible,Y,Y
Air Source Node Name,Programa de Tipo de Control de Red de Flujo de Aire,Nombre del Nodo de Fuente de Aire,Nom du nœud source d'air,Nom du nœud source d'air,Y,
Air Supply Constituent Mode,Nombre de Circuito de Aire,Modo de Constituyente del Suministro de Aire,Mode de constituant d'alimentation en air,Mode de constituant d'alimentation d'air,Y,Y
Air Supply Name,Algoritmo,Nombre de Suministro de Aire,Nom de l'apport d'air,Nom de l'alimentation d'air,Y,Y
Air Supply Rate Calculation Mode,Permitir Equipo de Zona No Soportado,Modo de Cálculo de Tasa de Suministro de Aire,Mode de calcul du débit d'air fourni,Mode de Calcul du Débit d'Air Soufflé,Y,Y
Air Velocity Schedule Name,Nombre del Horario de Velocidad del Aire,Nombre de la Programación de Velocidad del Aire,Nom du programme de vitesse de l'air,Nom de l'agenda de vitesse de l'air,Y,Y
Airflow Permeability,Modo de Funcionamiento Alternativo 1,Permeabilidad al Flujo de Aire,Perméabilité à l'air,Perméabilité au flux d'air,Y,Y
AirflowNetwork Control,Modo de Funcionamiento Alternativo 2,Control de Red de Flujo de Aire,Contrôle du Réseau de Flux d'Air,Contrôle du Réseau d'Écoulement d'Air,Y,Y
AirflowNetwork Control Type Schedule,Programa de Velocidad del Aire Ambiente,Horario de Tipo de Control de Red de Flujo de Aire,Calendrier du type de contrôle du réseau de flux d'air,Calendrier du type de contrôle du réseau de flux d'air,Y,
AirLoop Name,Rebotes Ambientales DMX,Nombre del AirLoop,Nom de la boucle d'air,Nom de la boucle d'air,Y,
Algorithm,Rebotes Ambientales VMX,Algoritmo,Algorithme,Algorithme,Y,
All Outdoor Air in Cooling,Todo Aire Exterior en Enfriamiento,Todo Aire Exterior en Enfriamiento,Tout l'air extérieur en refroidissement,Tout l'air extérieur en refroidissement,,
All Outdoor Air in Heating,Todo Aire Exterior en Calefacción,Todo Aire Exterior en Calefacción,Air extérieur total en chauffage,Tout l'air extérieur en chauffage,,Y
Allow Unsupported Zone Equipment,Divisiones Ambiente DMX,Permitir Equipos de Zona No Soportados,Autoriser l'équipement de zone non supporté,Autoriser l'équipement de zone non supporté,Y,
Alternative Operating Mode 1,Divisiones de Ambiente VMX,Modo de Operación Alternativo 1,Mode de fonctionnement alternatif 1,Mode d'exploitation alternatif 1,Y,Y
Alternative Operating Mode 2,Supermuestra Ambiental,Modo de Funcionamiento Alternativo 2,Mode de fonctionnement alternatif 2,Mode de fonctionnement alternatif 2,Y,
Ambient Air Velocity Schedule,Temperatura Ambiente Por Encima De La Cual El Calentador De Agua Tiene Mayor Prioridad,Horario de Velocidad del Aire Ambiente,Calendrier de Vitesse de l'Air Ambiant,Calendrier de Vitesse de l'Air Ambiant,Y,
Ambient Bounces DMX,Límite de Temperatura Ambiente para Modo SCWH,Rebotes Ambientales DMX,Ambient Bounces DMX,Rebonds Ambiants DMX,Y,Y
Ambient Bounces VMX,Nodo de Aire Exterior a Temperatura Ambiente,Rebotes Ambientales VMX,Rebonds Ambiants VMX,Rebonds Ambiants VMX,Y,
Ambient Divisions DMX,Nombre del Nodo de Aire Exterior a Temperatura Ambiente,Divisiones DMX Ambientales,Divisions Ambiantes DMX,Divisions Ambiantes DMX,Y,
Ambient Divisions VMX,Programa de Temperatura Ambiente,Divisiones Ambiente VMX,Divisions ambiantes VMX,Divisions ambiantes VMX,Y,
Ambient Supersamples,Nombre de Zona Térmica de Temperatura Ambiente,Submuestras Ambientales,Surséchantillonnage ambiant,Sursamples Ambiants,Y,Y
Ambient Temperature Above Which WH Has Higher Priority,Zona de Temperatura Ambiente,Temperatura Ambiente por Encima de la Cual el Calentador de Agua Tiene Mayor Prioridad,Température ambiante au-dessus de laquelle le WH a une priorité plus élevée,Température ambiante au-dessus de laquelle le CECS a une priorité plus élevée,Y,Y
Ambient Temperature Indicator,Indicador de Temperatura Ambiente,Indicador de Temperatura Ambiente,Indicateur de température ambiante,Indicateur de Température Ambiante,,Y
Ambient Temperature Limit For SCWH Mode,Nombre de la Zona de Temperatura Ambiente,Límite de Temperatura Ambiente para Modo SCWH,Limite de température ambiante pour le mode SCWH,Limite de Température Ambiante pour Mode SCWH,Y,Y
Ambient Temperature Outdoor Air Node,Nombre de Zona Ambiental,Nodo de Aire Exterior de Temperatura Ambiente,Nœud d'air extérieur à température ambiante,Nœud d'air extérieur de température ambiante,Y,Y
Ambient Temperature Outdoor Air Node Name,Tipo de Análisis,Nombre del Nodo de Aire Exterior de Temperatura Ambiente,Nom du nœud d'air extérieur à température ambiante,Nom du nœud d'air extérieur à température ambiante,Y,
Ambient Temperature Schedule,Potencia Eléctrica Auxiliar,Horario de Temperatura Ambiente,Calendrier de température ambiante,Calendrier de température ambiante,Y,
Ambient Temperature Schedule Name,Nombre del Horario de Temperatura Ambiente,Nombre del Programa de Temperatura Ambiente,Nom de l'horaire de température ambiante,Nom de la courbe de température ambiante,Y,Y
Ambient Temperature Thermal Zone Name,Término Constante de Electricidad Auxiliar,Nombre de la Zona Térmica de Temperatura Ambiente,Nom de la Zone Thermique de Température Ambiante,Nom de la Zone Thermique pour la Température Ambiante,Y,Y
Ambient Temperature Zone,Término Lineal de Electricidad Auxiliar,Zona de Temperatura Ambiente,Zone de Température Ambiante,Zone Température Ambiante,Y,Y
Ambient Temperature Zone Name,Nombre de Programa de Operación Auxiliar,Nombre de la Zona de Temperatura Ambiente,Nom de la zone de température ambiante,Nom de la Zone de Température Ambiante,Y,Y
Ambient Zone Name,Potencia Auxiliar,Nombre de Zona Ambiental,Nom de la Zone Ambiante,Nom de la zone ambiante,Y,Y
Analysis Type,Término Constante de Potencia Auxiliar,Tipo de Análisis,Type d'analyse,Type d'analyse,Y,
Ancillary Electric Power,Potencia Auxiliar Consumida en Espera,Potencia Eléctrica Auxiliar,Puissance électrique auxiliaire,Puissance électrique auxiliaire,Y,
Ancillary Electricity Constant Term,Nombre de la Curva de Función de Potencia Auxiliar por Entrada de Combustible,Término Constante de Electricidad Auxiliar,Terme constant de l'électricité auxiliaire,Terme Constant de l'Électricité Auxiliaire,Y,Y
Ancillary Electricity Linear Term,Término Lineal de Potencia Auxiliar,Término Lineal de Electricidad Auxiliar,Terme Linéaire d'Électricité Auxiliaire,Terme linéaire d'électricité auxiliaire,Y,Y
Ancillary Operation Schedule Name,Potencia Eléctrica Auxiliar Fuera de Ciclo,Nombre de la Programación de Operación Auxiliar,Nom de l'horaire d'exploitation auxiliaire,Nom de la planification de fonctionnement auxiliaire,Y,Y
Ancillary Power,Potencia Eléctrica Auxiliar en Ciclo Activo,Potencia Auxiliar,Puissance Auxiliaire,Puissance Auxiliaire,Y,
Ancillary Power Constant Term,Ángulo de Resolución para Mapa de Salida de Transmitancia de Pantalla,Término Constante de Potencia Auxiliar,Terme constant de puissance auxiliaire,Terme Constant de Puissance Auxiliaire,Y,Y
Ancillary Power Consumed In Standby,Temperatura Promedio Anual del Aire Exterior,Potencia Auxiliar Consumida en Standby,Puissance Auxiliaire Consommée en Veille,Puissance auxiliaire consommée en veille,Y,Y
Ancillary Power Function of Fuel Input Curve Name,Velocidad Promedio Anual Local del Viento,Nombre de Curva de Función de Potencia Auxiliar en Función del Combustible de Entrada,Nom de la courbe de la fonction de puissance auxiliaire en fonction de l'entrée de carburant,Nom de la Courbe de Fonction Puissance Auxiliaire en fonction de l'Entrée de Combustible,Y,Y
Ancillary Power Linear Term,Tipo de Control de Calefactor Anti-condensación,Término Lineal de Potencia Auxiliar,Terme Linéaire de Puissance Auxiliaire,Terme linéaire de puissance auxiliaire,Y,Y
Ancilliary Off-Cycle Electric Power,Horario de Aplicabilidad,Potencia Eléctrica Auxiliar Fuera de Ciclo,Puissance électrique supplémentaire hors cycle,Puissance Électrique Auxiliaire en Arrêt,Y,Y
Ancilliary On-Cycle Electric Power,Nombre del Calendario de Aplicabilidad,Potencia Eléctrica Auxiliar en Ciclo Activo,Puissance électrique auxiliaire en cycle actif,Puissance électrique auxiliaire en cycle actif,Y,
Angle of Resolution for Screen Transmittance Output Map,Aplicar viernes,Ángulo de Resolución para Mapa de Salida de Transmitancia de Pantalla,Angle de résolution pour la carte de sortie de transmittance d'écran,Angle de résolution de la carte de transmission du tamis,Y,Y
Ankle Level Air Velocity Schedule Name,Nombre del Horario de Velocidad del Aire a Nivel de Tobillo,Nombre de Esquema de Velocidad del Aire a Nivel de Tobillo,Nom de l'horaire de vitesse de l'air au niveau des chevilles,Nom de la planification de la vitesse de l'air au niveau des chevilles,Y,Y
Annual Average Outdoor Air Temperature,Aplicar Degradación de Latencia a Velocidades Mayores que 1,Temperatura Promedio Anual del Aire Exterior,Température Extérieure Moyenne Annuelle,Température moyenne annuelle de l'air extérieur,Y,Y
Annual Local Average Wind Speed,Aplicar el lunes,Velocidad Promedio Anual Local del Viento,Vitesse du vent moyenne annuelle locale,Vitesse Moyenne Annuelle du Vent Local,Y,Y
Anti-Sweat Heater Control Type,Aplicar Fracción de Carga Parcial a Velocidades Mayores que 1,Tipo de Control de Calentador Anti-Condensación,Type de contrôle du radiateur anti-condensation,Type de contrôle du réchauffeur anti-condensation,Y,Y
Applicability Schedule,Aplicar sábado,Horario de Aplicabilidad,Calendrier d'applicabilité,Calendrier d'applicabilité,Y,
Applicability Schedule Name,Aplicar domingo,Nombre de Calendario de Aplicabilidad,Nom de l'horaire d'applicabilité,Nom de l'Emploi du Temps d'Applicabilité,Y,Y
Apply Friday,Aplicar Jueves,Aplicar Viernes,Appliquer le vendredi,Appliquer le vendredi,Y,
Apply Latent Degradation to Speeds Greater than 1,Aplicar martes,Aplicar Degradación de Capacidad Latente a Velocidades Mayores que 1,Appliquer la dégradation de latence aux vitesses supérieures à 1,Appliquer la dégradation de capacité latente aux vitesses supérieures à 1,Y,Y
Apply Monday,Aplicar miércoles,Aplicar lunes,Appliquer lundi,Appliquer lundi,Y,
Apply Part Load Fraction to Speeds Greater than 1,Aplicar Regla de Fin de Semana y Día Festivo,Aplicar Fracción de Carga Parcial a Velocidades Mayores que 1,Appliquer la fraction de charge partielle aux vitesses supérieures à 1,Appliquer la Fraction de Charge Partielle aux Vitesses Supérieures à 1,Y,Y
Apply Saturday,Coeficiente de Temperatura de Aproximación 2,Aplicar sábado,Appliquer samedi,Appliquer samedi,Y,
Apply Sunday,Coeficiente de Temperatura de Aproximación 3,Aplicar domingo,Appliquer dimanche,Appliquer dimanche,Y,
Apply Thursday,Coeficiente de Temperatura de Aproximación 4,Aplicar Jueves,Appliquer jeudi,Appliquer jeudi,Y,
Apply Tuesday,Término Constante de Temperatura de Aproximación,Aplicar Martes,Appliquer mardi,Appliquer mardi,Y,
Apply Wednesday,Temperatura Profunda del Suelo en Abril,Aplicar miércoles,Appliquer mercredi,Appliquer mercredi,Y,
Apply Weekend Holiday Rule,Reflectancia del Terreno en Abril,Aplicar Regla de Día Festivo en Fin de Semana,Appliquer la règle de congé de fin de semaine,Appliquer la règle de jour férié du week-end,Y,Y
Approach Temperature Coefficient 2,Temperatura del Suelo en Abril,Coeficiente de Temperatura de Aproximación 2,Coefficient de Température d'Approche 2,Coefficient de température d'approche 2,Y,Y
Approach Temperature Coefficient 3,Temperatura del Suelo Superficial en Abril,Coeficiente de Temperatura de Aproximación 3,Coefficient de Température d'Approche 3,Coefficient de température d'approche 3,Y,Y
Approach Temperature Coefficient 4,Valor de Abril,Coeficiente de Temperatura de Aproximación 4,Coefficient de température d'approche 4,Coefficient de Température d'Approche 4,Y,Y
Approach Temperature Constant Term,Área,Término Constante de Temperatura de Aproximación,Terme constant de la température d'approche,Terme constant de température d'approche,Y,Y
April Deep Ground Temperature,Área del Fondo del Pozo,Temperatura Profunda del Terreno en Abril,Température Profonde du Sol en Avril,Température profonde du sol en avril,Y,Y
April Ground Reflectance,Área de Vidrio de Puertas Alcance Hacia Adentro Orientadas a la Zona,Reflectancia del Terreno en Abril,Réflectance du sol en avril,Réflectance du sol en avril,Y,
April Ground Temperature,Área de Puertas de Almacenamiento Orientadas a la Zona,Temperatura del Terreno en Abril,Température du sol en avril,Température du sol en avril,Y,
April Surface Ground Temperature,Tipo de arreglo,Temperatura del Terreno en Abril,Température du sol en surface - Avril,Température du sol de surface en avril,Y,Y
April Value,Profundidad Óptica del Cielo Despejado ASHRAE para Irradiancia de Haz,Valor de Abril,Valeur d'avril,Valeur d'avril,Y,
Area,Profundidad Óptica del Cielo Despejado de ASHRAE para Irradiancia Difusa,Área,Surface,Superficie,Y,Y
Area of Bottom of Well,Relación de Aspecto,Área de la Base del Pozo,Surface inférieure du puits,Surface inférieure du puits,Y,
Area of Glass Reach In Doors Facing Zone,Temperatura Profunda del Terreno en Agosto,Área de Puertas Cristal Abatibles Hacia la Zona,Superficie du verre des portes d'accès vitré tournées vers la zone,Surface de Vitrage des Portes Réfrigérées Accessible Donnant sur Zone,Y,Y
Area of Stocking Doors Facing Zone,Reflectancia del Terreno en Agosto,Área de Puertas de Almacenamiento Orientadas hacia la Zona,Surface des Portes de Stockage Donnant sur la Zone,Zone Surface d'ouverture des portes de stockage,Y,Y
Array Type,Temperatura del Terreno en Agosto,Tipo de Matriz,Type de Tableau,Type de tableau,Y,Y
ASHRAE Clear Sky Optical Depth for Beam Irradiance,Temperatura de Superficie del Suelo en Agosto,Profundidad Óptica del Cielo Despejado ASHRAE para Irradiancia Directa,Profondeur optique du ciel clair ASHRAE pour l'irradiance directe,Épaisseur optique ASHRAE du ciel clair pour le rayonnement direct,Y,Y
ASHRAE Clear Sky Optical Depth for Diffuse Irradiance,Valor de Agosto,Profundidad Óptica del Cielo Despejado ASHRAE para Irradiancia Difusa,Profondeur Optique du Ciel Clair ASHRAE pour l'Irradiance Diffuse,Profondeur Optique du Ciel Clair ASHRAE pour le Rayonnement Diffus,Y,Y
Aspect Ratio,Caudal de Diseño de Enfriamiento Auxiliar,Relación de Aspecto,Rapport d'aspect,Rapport d'aspect,Y,
August Deep Ground Temperature,Nombre de la Curva de Función de Relación de Entrada de Energía Eléctrica Auxiliar en relación a la PLR,Temperatura Profunda del Terreno en Agosto,Température profonde du sol en août,Température Profonde du Sol en Août,Y,Y
August Ground Reflectance,Nombre de Curva de Relación de Entrada de Energía Eléctrica Auxiliar en Función de la Temperatura,Reflectancia del Terreno en Agosto,Réflectance du Sol en Août,Réflectance du sol en août,Y,Y
August Ground Temperature,Potencia Eléctrica Auxiliar,Temperatura del Suelo en Agosto,Température du sol en août,Température du sol en août,Y,
August Surface Ground Temperature,Nombre del Calentador Auxiliar,Temperatura de Superficie de Suelo en Agosto,Température de Surface du Sol en Août,Température du sol en surface en août,Y,Y
August Value,Nombre del Nodo de Entrada Auxiliar,Valor de Agosto,Valeur d'août,Valeur d'août,Y,
Auxiliary Cooling Design Flow Rate,Potencia Eléctrica Auxiliar en Ciclo Cerrado,Caudal de Diseño de Enfriamiento Auxiliar,Débit de Conception du Refroidissement Auxiliaire,Débit de Conception du Refroidissement Auxiliaire,Y,
Auxiliary Electric Energy Input Ratio Function of PLR Curve Name,Potencia Eléctrica Auxiliar en Ciclo Activo,Nombre de Curva de Función de Relación de Entrada de Energía Eléctrica Auxiliar en Función de PLR,Nom de la courbe de ratio d'entrée d'énergie électrique auxiliaire en fonction du PLR,Nom de la courbe de rapport d'entrée énergétique électrique auxiliaire en fonction du taux de charge partielle,Y,Y
Auxiliary Electric Energy Input Ratio Function of Temperature Curve Name,Nombre del Nodo de Salida Auxiliar,Nombre de Curva de Función de Relación de Entrada de Energía Eléctrica Auxiliar en Función de Temperatura,Nom de la courbe de la fonction du ratio d'entrée d'énergie électrique auxiliaire en fonction de la température,Nom de la courbe de fonction du rapport d'entrée énergétique électrique auxiliaire en fonction de la température,Y,Y
